Product,Category,Price,Stock,Rating,Sales_Last_Month
Wireless Mouse,Electronics,29.99,150,4.5,342
Mechanical Keyboard,Electronics,89.99,85,4.8,156
USB-C Hub,Electronics,45.50,200,4.3,289
Laptop Stand,Office,34.99,120,4.6,198
Desk Lamp,Office,42.00,95,4.4,167
Ergonomic Chair,Furniture,299.99,45,4.9,78
Standing Desk,Furniture,399.00,32,4.7,54
Monitor Arm,Office,79.99,68,4.5,123
Webcam 1080p,Electronics,69.99,110,4.6,201
Noise Cancelling Headphones,Electronics,149.99,73,4.8,245
Blue Light Glasses,Accessories,24.99,180,4.2,312
Cable Management Kit,Office,15.99,250,4.3,421
Portable SSD 1TB,Electronics,119.00,92,4.7,176
Phone Stand,Accessories,12.99,300,4.1,389
Laptop Sleeve,Accessories,19.99,145,4.4,234
